Date,a[au],e[],i[rad],node[rad],omega[rad],mA[rad]
2031 FEB 28 20:14:55.1606570482254,3.3549845156736477,0.70628251,0.15607313969710807,3.317227599081086,3.7381554670531805,6.857791657121082e-07
2043 MAR 21 00:11:39.6905145645142,3.6278290247696643,0.97204343,3.1396905937709696,0.6608155040718652,0.12272928857411285,-5.692177195359678e-11
2050 FEB 11 07:08:11.8306519985199,1.8938365039033438,0.7129866,0.15707410871240712,2.5890308248657203,4.4773727401066825,1.9037137643369415e-09
2053 AUG 25 05:07:00.4330804347992,0.9434634661232351,0.22167652,0.008556692206064823,0.9616156702173135,6.105881647662833,-2.0668857323663919e-07
2043 JUL 17 15:07:55.6853053569794,2.85125557554552,0.80629392,0.08830652524493095,3.3032709185922324,3.7638047733125135,5.3108955297905746e-11
2040 JUL 15 13:49:40.3963224887848,1.538904568295952,0.36509761,0.39464582194639863,4.600149719732303,2.4714902305780173,-2.0115841615914567e-08
2033 SEP 18 01:51:08.9898406267166,1.28618478441024,0.57959857,0.00613368371957933,3.9636369209772586,3.104592928265385,-1.4067315301430648e-08
2031 SEP 30 19:54:58.8622338771820,3.6118025657862725,0.80068357,0.00730027418345003,6.89579480873579,6.452828242451934,6.98364973155692e-10
2043 OCT 30 10:32:27.8300344944000,1.261808790500544,0.33223458,0.42581549997813267,5.162975982064347,1.9085053714723752,-8.84119208145954e-09
2040 FEB 17 07:23:50.3282999992371,2.254344329615664,0.67000558,0.28351987071387874,0.625685717834405,0.1596741697519022,7.577895299388392e-10
2025 AUG 06 17:10:59.3663815259934,1.919574319819728,0.87279648,0.0370979104929478,4.688400091901948,2.3812811965366287,2.569788868187197e-07
2040 APR 08 16:41:27.0352754592895,1.457248948762464,0.76792601,0.292259362597145,3.3354968405804457,3.7363092701753517,-2.287024808006219e-09
2049 SEP 08 23:32:52.3980903625488,1.6649593053075842,0.40051849,0.4464544896218637,2.1325757123759894,-1.3507758870520485,2.657676512219573e-08
2052 AUG 31 16:11:45.3888292312622,2.97317354570808,0.73097476,3.126531334809708,4.68044621344924,2.388012479968328,-1.2669240220963806e-09
2033 AUG 21 15:23:47.5295562744141,3.8218800605837275,0.82886782,3.124868734164258,3.3423750315092176,3.7204221339615433,-1.1996892652941375e-07
2025 APR 26 00:23:20.9764336347580,1.428198279311232,0.33446056,0.12432537720118698,6.978666855740931,6.374072504393491,5.232313454119495e-10
2045 JAN 01 15:56:51.6116654872894,1.9459085453739358,0.65131971,0.13154775734012047,5.320979997503479,1.747165369415549,-6.013873535220066e-09
2032 MAY 05 20:46:25.5284416675568,2.0781833829007677,0.66383307,0.08091425824726677,1.4652132594764071,5.603301954271794,-2.1067085953925449e-07
2033 DEC 26 09:06:13.3945689201355,2.392881768344496,0.79853944,0.27146875620129335,5.306445043873967,1.7602962819520747,1.2500044563355118e-10
2029 APR 02 23:59:42.4210352897644,2.989950616821168,0.74243969,0.08970748881820201,5.891964779003572,1.1748626896914494,-3.9688425130097545e-09
2030 APR 26 00:44:25.3263411521912,1.9954664462166718,0.65248206,0.03459976139337374,4.50251481196931,2.5610598514321574,6.930184426649274e-07
2046 JUL 13 02:41:27.9438621997833,1.9904278647945122,0.62006517,0.6868724421667762,2.9576452347648785,4.108940625803163,1.834384870809268e-09
2028 JUL 25 05:34:40.4742635488510,2.8048670259186723,0.83065068,0.1396046928408339,5.612970159783375,1.45590261098386,7.530826485713268e-10
2052 FEB 04 20:40:14.1552724838257,2.254575033343776,0.55656123,0.3649807922628089,2.088512604122733,4.984919947711835,3.0251463551559854e-07
2051 AUG 12 14:42:09.7787363529205,1.8040353527401918,0.6251846,0.002064427973669378,4.529204509589232,2.5381790176121455,-9.879210717605754e-10
2041 JUN 12 19:49:25.9891510009766,3.149132989166736,0.82007374,0.04321551466866142,0.5307740468414244,0.24983214689876101,-2.7990372085517805e-10
2048 DEC 26 05:09:15.7074375152588,2.2788685259202723,0.57947142,1.1439428446040178,-0.6758459039214635,1.460247838241175,-1.2043596083114753e-07
2025 JUL 07 17:47:32.0583778619766,1.789162312395744,0.53008651,0.052433422243850426,0.9179344514687015,6.144632251625627,9.681382881418753e-09
2029 MAR 26 03:23:01.1601250171661,2.204196719243376,0.58235154,0.028301878668563114,6.106731167988699,0.96565507582052,-4.252193723608746e-09
2025 MAY 13 05:55:01.8681639432907,2.316507634158432,0.62173463,0.06942626025520332,7.069348577970092,6.282729287274561,-3.358892022515839e-09
2036 APR 02 11:39:01.6892127990723,1.815184632909648,0.47634584,0.005002689594868906,3.8809579564903016,3.1868919214210223,3.748070621104823e-09
2049 MAY 15 22:04:08.4520471096039,1.818917693234928,0.66030907,0.054137043362709844,7.230366094364624,6.120372440603538,3.846297072698975e-07
